index,source,content_type,release_label,version,released_at,fix_en,summary_ko,source_url,source_anchor,tags,publication_status,collected_at
1,Microsoft Learn,powerbi_changelog,March 2026 QFE 1,2.152.1057.0,3/24/2026,Fixed issues with data label positioning in column charts.,March 2026 QFE 1 변경 로그 항목입니다. 버전 2.152.1057.0. 릴리스일 3/24/2026. 원문 요약: Fixed issues with data label positioning in column charts.,https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#march-2026-qfe-1,march-2026-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 시각화,review,2026-08-15T19:36:05
2,Microsoft Learn,powerbi_changelog,February 2026 QFE 1,2.151.1182.0,"February 25, 2026",Fixed an issue where native queries in Export queries failed when writing to the output destination.,"February 2026 QFE 1 변경 로그 항목입니다. 버전 2.151.1182.0. 릴리스일 February 25, 2026. 원문 요약: Fixed an issue where native queries in Export queries failed when writing to the output destination.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2026-qfe-1,february-2026-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
3,Microsoft Learn,powerbi_changelog,February 2026 QFE 1,2.151.1182.0,"February 25, 2026",Fixed an issue where the selected marker fill color wasn't applied in Azure Maps.,"February 2026 QFE 1 변경 로그 항목입니다. 버전 2.151.1182.0. 릴리스일 February 25, 2026. 원문 요약: Fixed an issue where the selected marker fill color wasn't applied in Azure Maps.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#february-2026-qfe-1,february-2026-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
4,Microsoft Learn,powerbi_changelog,January 2026 QFE 2,2.150.2455.0,"February 12, 2026",Addressed an issue of missing ADBC driver assemblies.,"January 2026 QFE 2 변경 로그 항목입니다. 버전 2.150.2455.0. 릴리스일 February 12, 2026. 원문 요약: Addressed an issue of missing ADBC driver assemblies.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2026-qfe-2,january-2026-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
5,Microsoft Learn,powerbi_changelog,January 2026 QFE 1,2.150.2102.0,"January 28, 2026","Addressed the problem with view switcher icons not displaying correctly in Power BI Desktop, caused by a WebView2 regression.","January 2026 QFE 1 변경 로그 항목입니다. 버전 2.150.2102.0. 릴리스일 January 28, 2026. 원문 요약: Addressed the problem with view switcher icons not displaying correctly in Power BI Desktop, caused by a WebView2 regression.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#january-2026-qfe-1,january-2026-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
6,Microsoft Learn,powerbi_changelog,November 2025 QFE 3,2.149.1429.0,"December 5, 2025","Addressed a regression where an empty schema was being returned when using more two or more models that contained only tables (with no measures or relationships). This caused errors such as ""Something went wrong"" or Copilot indicating no models or schema were available in multimodel authoring scenarios.","November 2025 QFE 3 변경 로그 항목입니다. 버전 2.149.1429.0. 릴리스일 December 5, 2025. 원문 요약: Addressed a regression where an empty schema was being returned when using more two or more models that contained only tables (with no measures or relationships). This caused errors such as ""Something went wrong"" or...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#november-2025-qfe-3,november-2025-qfe-3,Power BI; Power BI Desktop; 변경 로그; 버그 수정; Copilot; 모델링,review,2026-08-15T19:36:05
7,Microsoft Learn,powerbi_changelog,October 2025 QFE 2,2.148.1477.0,"November 10, 2025",Fixed the issue where calculated tables were previously omitted from the refresh process.,"October 2025 QFE 2 변경 로그 항목입니다. 버전 2.148.1477.0. 릴리스일 November 10, 2025. 원문 요약: Fixed the issue where calculated tables were previously omitted from the refresh process.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#october-2025-qfe-2,october-2025-qfe-2,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 새로 고침,review,2026-08-15T19:36:05
8,Microsoft Learn,powerbi_changelog,October 2025 QFE 1,2.148.1226.0,"October 28, 2025",Feature update to treat calculated tables as refreshable.,"October 2025 QFE 1 변경 로그 항목입니다. 버전 2.148.1226.0. 릴리스일 October 28, 2025. 원문 요약: Feature update to treat calculated tables as refreshable.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#october-2025-qfe-1,october-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; 새로 고침,review,2026-08-15T19:36:05
9,Microsoft Learn,powerbi_changelog,October 2025 QFE 1,2.148.1226.0,"October 28, 2025","Resolved an issue where the user sees the ""This query contains transformations that can't be used for DirectQuery"" error when using the Snowflake connector in DirectQuery mode. Also resolved the ""This step results in a query that is not supported in DirectQuery mode. Switch all tables to Import mode"" error seen in the Snowflake connector.","October 2025 QFE 1 변경 로그 항목입니다. 버전 2.148.1226.0. 릴리스일 October 28, 2025. 원문 요약: Resolved an issue where the user sees the ""This query contains transformations that can't be used for DirectQuery"" error when using the Snowflake connector in DirectQuery mode. Also resolved the ""This step results in...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#october-2025-qfe-1,october-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정; DirectQuery; Snowflake,review,2026-08-15T19:36:05
10,Microsoft Learn,powerbi_changelog,October 2025 QFE 1,2.148.1226.0,"October 28, 2025",Fixed scenarios when the user opens PBIP files with the connection or file errors and the Power BI Desktop hangs in the noninitialized state.,"October 2025 QFE 1 변경 로그 항목입니다. 버전 2.148.1226.0. 릴리스일 October 28, 2025. 원문 요약: Fixed scenarios when the user opens PBIP files with the connection or file errors and the Power BI Desktop hangs in the noninitialized state.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-change-log#october-2025-qfe-1,october-2025-qfe-1,Power BI; Power BI Desktop; 변경 로그; 버그 수정,review,2026-08-15T19:36:05
