index,source,content_type,title_en,title_ko,summary_en,summary_ko,source_url,author,published_at,topic,labels,image_url,publication_status,collected_at
1,Microsoft Fabric Community,powerbi_community_blog,🏆Announcing the winner of the third round of the Power BI Dataviz World Champs prelims!,Power BI Dataviz World Champs 소식,"The judges have spoken, we've selected the 4th and final participant for the finale of the Power BI Dataviz World Champs, who will compete live on-stage in Barcelona!","Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Announcing-the-winner-of-the-third-round-of-the-Power-BI-Dataviz/ba-p/5360222,slindsay,2026-08-21,이벤트,Events,,review,2026-08-23T21:19:52
9,Microsoft Fabric Community,powerbi_community_blog,Power BI Dataviz World Champs | Round 3,Power BI Dataviz World Champs 소식,Join us for the third round of the Power BI dataviz world champs - the final stop on the journey to Barcelona. Read on to learn more!,"Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-BI-Dataviz-World-Champs-Round-3/ba-p/5323477,slindsay,2026-08-21,이벤트,Events,,review,2026-08-23T21:19:52
2,Microsoft Fabric Community,powerbi_community_blog,"Self-Service BI and the Semantic Model: Freedom, Friction, and the Path to Governance","Self-Service BI and the 의미론적 모델: Freedom, Friction, and the Path to Governance","Introduction Ask five different people in an organization what ""self-service BI"" means and you'll get five different answers — a business analyst building a report without waiting on IT, a finance team member connecting Excel to a shared dataset, or a citizen developer standing up an entire semantic model from a CSV export. In Power BI and Microsoft Fabric, all of these are really the same underlying capability: the semantic model is the thing that makes self-service possible in the first place. This post is a grounded look at self-service BI through the lens of the semantic model — what it enables, where it breaks down, how the connectivity mode you choose quietly decides how ""self-service"" your model can actually be, and what governance levers (discovery, permissions, promotion, certification) exist to turn scattered self-service work into something an enterprise can actually trust. What Is Self-Service BI, Really? Self-service BI is the ability for business users — not just central IT or a dedicated BI team — to connect to data, model it, build calculations, and produce reports without submitting a ticket and waiting in a queue. In the Power BI world, this is powered by three things working together: Power Query for data connection and shaping, without writing ETL pipelines. The semantic model (tables, relationships, DAX measures, RLS) as the reusable logic layer — this used to be called a ""dataset."" Power BI Desktop / Fabric workspaces as the place to build and share it, without provisioning infrastructure. The critical shift self-service BI represents is this: the semantic model used to be something IT built for you. Now it's something you can build yourself — and, if it's good enough, something the rest of the organization can build on top of. From Self-Service BI to Governed Enterprise BI Self-service BI isn't a one-time event — it's a lifecycle. A model usually starts as one person's Tuesday-afternoon project and, if it proves useful, ends up as a certified, org-wide source of truth. Understanding this journey up front makes every governance decision later in this post make a lot more sense. The failure mode most organizations hit isn't that self-service BI happens — it's that models get stuck at the far-left end of this diagram: dozens of personal-workspace models, each reused informally, none of them promoted, certified, or discoverable, each one quietly diverging from the others on how ""revenue"" or ""active customer"" is defined. Advantages of Self-Service BI Speed. A business user can go from question to answer in hours, not weeks, without waiting on a central BI backlog. Domain accuracy. The person closest to the business problem — not a generalist BI developer — defines the logic, which often produces a more correct first draft. Reduced IT bottleneck. Central teams can focus on enterprise-scale, high-stakes models instead of every ad hoc request. Experimentation is cheap. A model that doesn't work out can be discarded without having consumed a formal project slot. Natural talent pipeline. The best self-service models and their authors are exactly the candidates worth promoting into the ""governed"" side of the house — this is how most Center of Excellence programs actually source their semantic modelers. Disadvantages and Challenges Metric sprawl. Ten self-service models, ten slightly different definitions of ""net revenue."" Nobody notices until two dashboards disagree in a leadership meeting. No ownership continuity. A model built by one analyst becomes an orphan the day they change roles — nobody else knows the DAX, the source quirks, or the intended grain. Inconsistent data quality controls. Self-service models frequently skip validation steps (data type checks, referential integrity, incremental refresh design) that a governed pipeline would enforce. Duplicate load on source systems. Multiple self-service Import models refreshing against the same source table multiplies extraction load for no additional value. Security drift. Row-level security is easy to forget, easy to configure inconsistently, and easy to leave wide open in a model nobody's reviewing. Discoverability gap. Good models get built and then live invisibly in a personal workspace — the rest of the org keeps rebuilding the same thing because they don't know it already exists (more on this below). The pattern to internalize: none of these challenges argue against self-service BI — they argue for pairing it with a lightweight governance layer (permissions, discovery, endorsement) rather than trying to eliminate self-service altogether. The rest of this post is about that layer. Limitations and Dependencies on Source Systems This is the part of self-service BI that's easiest to underestimate: your semantic model is only as self-service as your source system allows it to be. Concurrency limits. A self-service DirectQuery model pointed at an operational SQL database can genuinely degrade that database's performance for the application it was built for — this is one of the most common ""why is production slow"" incidents traced back to BI. API and connector throttling. Cloud service connectors (Dynamics, Salesforce, ServiceNow, etc.) impose rate limits; a self-service model refreshing too aggressively can get itself — and other integrations — throttled. Schema volatility. Source systems change columns, rename fields, or restructure without warning the BI layer. A self-service model has no formal change-notification process the way a governed pipeline might. Authentication and gateway dependency. On-premises sources need a data gateway; if the self-service model's owner leaves and the gateway credential was personal, the refresh silently breaks. Data freshness ceiling. Import mode is only as fresh as the last scheduled refresh; if the business genuinely needs seconds-level freshness, self-service Import alone won't deliver it — which is exactly why the connectivity mode decision (next section) matters so much. Licensing and capacity dependency. Direct Lake and large-scale DirectQuery both depend on Fabric/Premium capacity being available and correctly sized — a self-service author rarely has visibility into whether the shared capacity can absorb their model's load. Connectivity / Storage Modes: Import, DirectQuery, Direct Lake, Composite The storage mode you pick for a semantic model isn't just a performance decision — it directly determines how ""self-service"" the resulting model can be, how much load it puts on the source, and how fresh the data is. Mode How it works Freshness Source load Best for self-service when… Import Data copied and compressed into the in-memory Vertipaq engine As fresh as the last scheduled refresh One-time pull per refresh cycle You need fast queries and the data volume is moderate — the default choice for most self-service models DirectQuery Every visual sends a live query back to the source Real-time Continuous — every interaction hits the source The business genuinely needs live data and the source can absorb query concurrency Direct Lake Reads Delta Parquet files directly from OneLake, no import step Near real-time, no refresh needed Low — reads OneLake files, not the operational source Data already lands in a Fabric Lakehouse/Warehouse as Delta tables Composite Different tables in the same model use different modes (Import + DirectQuery + Direct Lake) Mixed, per table Mixed, per table You need to blend a large fact table (DirectQuery/Direct Lake) with small, fast-changing dimension tables (Import) A few things worth calling out explicitly for a self-service audience: Import is still the right default for most self-service work. It's forgiving of imperfect source design and gives the best query performance for exploration. DirectQuery in a self-service context is where most of the ""self-service BI took down our database"" stories come from. If you're building DirectQuery self-service models against a transactional system, loop in the DBA before you loop in your stakeholders. Direct Lake is changing this calculus. Because it reads OneLake Delta tables without a traditional refresh, it removes a lot of the Import-vs-DirectQuery tension — but it depends on the data already being well-structured in a Lakehouse, which is usually an IT/engineering deliverable, not a self-service one. Composite models are the realistic middle ground for a self-service author who has one enormous fact table and several small reference tables — DirectQuery/Direct Lake the big table, Import the small ones. Semantic Model Discovery A self-service model that nobody can find delivers zero enterprise value beyond its original author. This is the problem semantic model discoverability solves. In the Power BI service / Fabric, discoverability works like this: Go to the semantic model's Settings → Endorsement and discovery. The Make discoverable checkbox only activates once the model is Promoted or Certified — undoubtedly a deliberate design choice; undiscovered models don't get to advertise themselves. Once discoverable, users without access can find the model in the OneLake data hub (formerly the Power BI data hub) and request access to it, rather than rebuilding it from scratch. This is the single most under-used lever in most self-service BI programs: teams invest in building good models, then never flip the discoverability switch, and the rest of the org keeps duplicating the work. Permissions on a Semantic Model Self-service BI runs into governance friction fastest at the permissions layer — mostly because Power BI's permission model has more moving parts than people expect. At minimum, a self-service author (and their governance reviewer) should understand: Read — can view/interact with reports built on the model; cannot connect a new report to it or see the underlying tables. Build — can create new reports directly against the semantic model (Live Connect, Analyze in Excel, Power BI Report Builder) — this is the permission that actually enables downstream self-service reuse. Reshare — allows a user to grant Read access to others; usually restricted, since it can silently widen a model's audience beyond what the owner intended. Row-Level Security (RLS) / Object-Level Security (OLS) — filters or hides data based on the viewer's identity; self-service authors frequently forget to test this from a non-admin account, which is the only way to know it's actually working. Workspace roles (Viewer, Contributor, Member, Admin) — govern who can edit vs. publish vs. manage the workspace the model lives in, separate from the model-level Build/Read/Reshare permissions above. A useful self-service governance habit: grant Build, not Contributor, to business users who only need to create new reports against an existing certified model. Contributor access invites them to edit the model itself, which is rarely the intent. Promotion and Certification of Semantic Models This is the formal mechanism that turns ""a good self-service model"" into ""the model the organization trusts."" Power BI/Fabric supports up to three endorsement levels: Promoted — a self-service endorsement. Any content owner, or anyone with write permissions on the workspace, can promote a model they believe is ready for wider use. Low bar, fast signal. Certified — a governance-level endorsement. Only reviewers explicitly authorized by the Power BI/Fabric admin can certify a model, and certification is meant to signal it has passed the organization's quality bar (data accuracy, refresh reliability, documentation, security configuration). Master data (Fabric) — an additional badge available specifically for data-bearing items like Lakehouses and semantic models, signaling the item is an authoritative source of a core business entity (e.g., ""the"" Customer table). Endorsed models are visibly badged — a blue badge for Promoted, a gold badge for Certified — everywhere the model shows up: the OneLake data hub, ""Get data"" dialogs, Excel's Power BI connector, and the report header itself when you're connected live. The practical workflow most Fabric User Groups end up recommending: Author builds and validates the model in a personal/team workspace. Model gets Promoted once it's stable and starts being reused informally. Model owner or the reviewing team requests Certification once it's been moved to a governed workspace and passed a documented quality checklist. Make discoverable is enabled so users without access can find and request it, rather than rebuilding it. Closing Thoughts Self-service BI and enterprise governance aren't opposing forces — they're two ends of the same lifecycle, and the semantic model is what connects them. The connectivity mode you choose decides how much load and freshness trade-off your source system absorbs. Discovery decides whether good work gets reused or silently duplicated. Permissions decide who can build on your model safely. And promotion/certification is the mechanism that turns ""someone's self-service project"" into ""the organization's source of truth."" Get those four levers right, and self-service BI stops being a governance risk and starts being exactly what it was meant to be: a faster path to a well-governed enterprise semantic layer. Written by Praful Potphode — Power BI Architect, Microsoft Fabric Community Super User, and founder of the Microsoft Fabric User Group Pune.","Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Self-Service-BI-and-the-Semantic-Model-Freedom-Friction-and-the/ba-p/5360250,Praful_Potphode,2026-08-20,이벤트,Events,,review,2026-08-23T21:19:52
3,Microsoft Fabric Community,powerbi_community_blog,From Filter Context to Reusable Logic: DAX UDFs in Action,필터 컨텍스트를 재사용 가능한 DAX UDF 로직으로 바꾸는 방법,"How is Course X performing compared to my benchmark course over time? The challenge lies in managing filter context, including which courses and filters to consider or ignore.",DAX 사용자 정의 함수로 반복되는 필터 컨텍스트 로직을 재사용하는 방법을 설명합니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/From-Filter-Context-to-Reusable-Logic-DAX-UDFs-in-Action/ba-p/5357943,techies,2026-08-12,DAX,How To; DAX,,review,2026-08-23T21:19:52
10,Microsoft Fabric Community,powerbi_community_blog,Community Sticker Challenge Barcelona 2026,Fabric Community Sticker Challenge 수상작,"🎨 Community Sticker Challenge Barcelona 2026 Winners Congratulations to the winners of the Community Sticker Challenge Barcelona 2026! We are excited to announce the winning designs across four challenge categories. Thank you to everyone who shared their creativity, voted for their favorite designs, and helped make this challenge a success. ••• 🏆 Winning Designs 😂 Inside Joke Username: jennratten Title: Famous Last Words Before Production View Sticker 🏅 Certified & Proud Username: kf2k3 Title: Building My Future View Sticker 🤖 AI-Powered Username: jayasurya_prud Title: Better Together: Human + AI View Sticker 🌍 Community Enthusiasm: Barcelona Edition Username: Juless Title: Data Is Art: Barcelona 2026 View Sticker 🎨 Winning Sticker Designs Take a look at the four winning stickers selected by the Fabric Community. 💙 Thank You, Fabric Community Thank you to everyone who participated in the challenge and voted for their favorite stickers. We were impressed by the creativity, humor, talent, and community spirit shown throughout the competition. We look forward to celebrating the winning designs at FabCon & SQLCon in Barcelona and sharing them with the community. Congratulations to Our Winners! The Fabric Community Sticker Challenge Barcelona 2026 was a huge success because of your creativity and participation.","Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Community-Sticker-Challenge-Barcelona-2026/ba-p/5311346,FabricMau,2026-08-11,이벤트,Events,,review,2026-08-23T21:19:52
4,Microsoft Fabric Community,powerbi_community_blog,Need a Running Total for Just One Chart? Power BI's Visual Calculations Skip the Extra Measure,차트 하나에만 필요한 누계는 시각적 계산으로 처리할 수 있습니다,"Ever needed a running total or a moving average for just one chart, and ended up adding a new measure to your whole semantic model just to get it a measure nobody else will ever use again? Power BI's Visual Calculations let you write that logic directly inside the chart itself, with no extra measure and no impact on the rest of your model. Here's what that looks like with a real example.",별도 측정값을 만들지 않고 특정 차트 안에서 누계나 이동평균을 처리하는 방법을 다룹니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Need-a-Running-Total-for-Just-One-Chart-Power-BI-s-Visual/ba-p/5342327,pankajnamekar25,2026-08-05,DAX,How To; DAX,,review,2026-08-23T21:19:52
5,Microsoft Fabric Community,powerbi_community_blog,Data Days Contests | Announcing SQL + AI Promptathon Winners,SQL + AI Promptathon 수상자 발표,Congratulations to the winners and judges favorites in the SQL + AI Promptathon contest!,"Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Data-Days-Contests-Announcing-SQL-AI-Promptathon-Winners/ba-p/5341906,slindsay,2026-08-04,이벤트,Events,,review,2026-08-23T21:19:52
6,Microsoft Fabric Community,powerbi_community_blog,The Hidden Architecture of Power BI Publishing Explained,Power BI 게시 뒤에서 실제로 일어나는 구조,"Most Power BI developers spend hours building reports—connecting data sources, creating relationships, writing DAX measures, and designing interactive dashboards. Then comes the easiest part: clicking Publish . Or is it? That single button kicks off a series of automated processes inside the Power BI Service that most developers never see. Understanding what happens after publishing can help you troubleshoot issues, optimize deployments, and better explain the Power BI architecture during interviews. Let's walk through the journey. Step 1: Your PBIX File Is Uploaded to the Power BI Service Publishing begins by transferring your local PBIX file from Power BI Desktop to a workspace in the Power BI Service. However, the service doesn't simply store your PBIX file as-is. Instead, Power BI extracts the different components inside the file and manages them as separate cloud assets. This separation is what enables collaborative development, scheduled refreshes, security management, and independent updates. Step 2: The Semantic Model Becomes a Cloud Asset One of the most important components extracted from the PBIX file is the semantic model. The semantic model contains: Imported data Relationships Calculated columns Measures Hierarchies Metadata Security definitions such as Row-Level Security (RLS) Once published, this model lives independently in the Power BI Service and becomes the foundation for report queries. Every visual that users interact with ultimately sends queries back to this semantic model. Step 3: The Report Is Stored Separately Although it feels like a report and its data are inseparable, Power BI treats them as different objects. The report contains: Visuals Pages Filters Bookmarks Themes Layout information Navigation Notice that it doesn't actually store the business data. Instead, every chart, KPI, slicer, and table references the semantic model. This architecture allows multiple reports to reuse the same trusted dataset without duplicating data. Step 4: Metadata Is Registered Power BI now records important metadata about the published assets, including: Workspace location Owner Permissions Refresh settings Data source connections Lineage information This metadata powers many of the management features available in the Power BI Service, including impact analysis, governance, auditing, and deployment pipelines. Step 5: Data Source Connections Are Validated Publishing a report doesn't automatically mean the data can refresh successfully. Power BI checks the data source configuration and determines whether additional setup is required. For cloud-based sources, authentication may simply need to be confirmed. For on-premises databases, an On-premises Data Gateway is typically required before scheduled refreshes can run successfully. Step 6: Credentials Are Stored Securely After publication, Power BI securely stores the credentials used to connect to supported data sources. These credentials aren't embedded inside the report itself. Instead, they're managed centrally within the service, allowing administrators to rotate passwords or update authentication methods without rebuilding reports. Step 7: Scheduled Refresh Can Be Configured If the report uses Import mode, the published semantic model can now be refreshed automatically. Rather than republishing the PBIX every day, Power BI refreshes the underlying data while keeping the report structure intact. Users simply open the report and see the latest available information. Step 8: Security Is Applied Security becomes much more powerful once the report reaches the cloud. Administrators can configure: Workspace permissions App access Row-Level Security (RLS) Object-Level Security (OLS) Build permissions Sharing permissions This ensures different users can access the same report while only seeing the data they're authorized to view. Step 9: Reports Become Shareable Once published, reports are no longer limited to your desktop. Depending on your licensing and organizational policies, they can be: Shared with colleagues Added to Power BI Apps Embedded into internal applications Accessed through Microsoft Teams Consumed from mobile devices The cloud is what transforms a personal report into an enterprise analytics solution. Step 10: Every User Interaction Becomes a Query Publishing doesn't create static reports. Each time a user changes a slicer, drills through data, clicks a chart, or applies a filter, Power BI generates queries against the semantic model. The service processes these requests and returns only the results needed to update the visuals. This interactive query engine is one of the reasons Power BI feels so responsive. Why Understanding This Matters Many developers think publishing is simply uploading a file. In reality, publishing is the point where Power BI converts your desktop solution into a managed cloud analytics platform. Knowing this architecture helps you: Troubleshoot refresh failures more effectively Understand report performance Design reusable semantic models Build scalable enterprise BI solutions Explain the Power BI lifecycle confidently during technical interviews It's also why experienced Power BI professionals often think in terms of semantic models, governance, and shared datasets—not just reports. In conclusion, Publishing a Power BI report is far more than pressing a button. It's the transition from local development to enterprise-grade analytics. Behind the scenes, Power BI separates reports from semantic models, registers metadata, validates connections, secures credentials, enables governance, and prepares your solution for collaboration at scale. The next time you click Publish , remember that you're not just uploading a report—you're deploying an entire analytical solution to the Power BI ecosystem.","PBIX 게시 후 서비스에서 의미론적 모델, 보고서, 보안, 새로 고침이 어떻게 분리되어 관리되는지 설명합니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/The-Hidden-Architecture-of-Power-BI-Publishing-Explained/ba-p/5333695,abiola_david,2026-08-03,서비스 운영,How To,,review,2026-08-23T21:19:52
7,Microsoft Fabric Community,powerbi_community_blog,Power BI Dataviz World Champs Barcelona | Round 2 Winners!!!,Power BI Dataviz World Champs 소식,The judges have made their decisions after an arduous debate. Read on to learn who will be joining Jerome and Marius on stage in Barcelona!,"Power BI 커뮤니티 이벤트, 대회, 수상자 발표 등 참여형 소식을 정리한 글입니다.",https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-BI-Dataviz-World-Champs-Barcelona-Round-2-Winners/ba-p/5332826,slindsay,2026-07-31,이벤트,Events,,review,2026-08-23T21:19:52
8,Microsoft Fabric Community,powerbi_community_blog,Power BI Copilot Custom Instructions: Prep Data for AI,Power BI Copilot 사용자 지정 지침으로 AI용 데이터 준비하기,"Working in a specialized industry like banking or logistics often means using unique terminology that generic analytics tools may not understand. Power BI Copilot allows you to tailor its AI capabilities by adding custom instructions, ensuring your organization's language is recognized and interpreted correctly during analysis.",업무 용어와 데이터 맥락을 Copilot이 더 잘 이해하도록 사용자 지정 지침을 설정하는 방법입니다.,https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Power-BI-Copilot-Custom-Instructions-Prep-Data-for-AI/ba-p/5332193,uzuntasgokberk,2026-07-31,Copilot,How To; Copilot,,review,2026-08-23T21:19:52
