channel_name,channel_type,topic,title_en,title_ko,summary_ko,published_at,video_url,thumbnail_url,thumbnail_asset
Havens Consulting,시각화,Fabric,Building Custom Data Experiences with Power BI and Fabric Apps (w/ Stephen Godderidge),Building Custom Data Experiences with Power BI and Fabric Apps (w/ Stephen Godderidge),Fabric과 Power BI의 최신 기능 흐름을 파악하는 데 도움이 되는 영상입니다.,2026-08-22,https://www.youtube.com/watch?v=DWMllyEatLY,https://i1.ytimg.com/vi/DWMllyEatLY/hqdefault.jpg,powerbi_learning_thumbs/DWMllyEatLY.jpg
How to Power BI,디자인,시각화,THIS changed how I build any page in a Power BI report ✌🏻,THIS changed how I build any page in a Power BI report ✌🏻,보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-21,https://www.youtube.com/watch?v=DzMPmgyfEP0,https://i1.ytimg.com/vi/DzMPmgyfEP0/hqdefault.jpg,powerbi_learning_thumbs/DzMPmgyfEP0.jpg
Havens Consulting,시각화,시각화,Building to Teach: AI-Assisted Tools for Data Viz Education (w/ Ben Ferry),Building to Teach: AI-Assisted Tools for Data Viz Education (w/ Ben Ferry),보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-21,https://www.youtube.com/watch?v=hDuR4IbcMog,https://i1.ytimg.com/vi/hDuR4IbcMog/hqdefault.jpg,powerbi_learning_thumbs/hDuR4IbcMog.jpg
Guy in a Cube,실무,실무,The One Power BI Filter to Drop,The One Power BI Filter to Drop,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-08-19,https://www.youtube.com/watch?v=HPRXE83IeE4,https://i1.ytimg.com/vi/HPRXE83IeE4/hqdefault.jpg,powerbi_learning_thumbs/HPRXE83IeE4.jpg
Guy in a Cube,실무,실무,Stop Overbuilding Power BI Tooltips: Use One Clear Sentence,Stop Overbuilding Power BI Tooltips: Use One Clear Sentence,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-08-18,https://www.youtube.com/watch?v=WIL5SjjNY7c,https://i4.ytimg.com/vi/WIL5SjjNY7c/hqdefault.jpg,powerbi_learning_thumbs/WIL5SjjNY7c.jpg
Guy in a Cube,실무,실무,Can Power BI Sentence Tooltips ELIMINATE User Confusion?,Can Power BI Sentence Tooltips ELIMINATE User Confusion?,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-08-18,https://www.youtube.com/watch?v=srI44Jrt83A,https://i4.ytimg.com/vi/srI44Jrt83A/hqdefault.jpg,powerbi_learning_thumbs/srI44Jrt83A.jpg
How to Power BI,디자인,시각화,Power BI Reporting Plugin MS Skills for Power BI,Power BI Reporting Plugin MS Skills for Power BI,보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-18,https://www.youtube.com/watch?v=_HXFKiJwhYQ,https://i4.ytimg.com/vi/_HXFKiJwhYQ/hqdefault.jpg,powerbi_learning_thumbs/_HXFKiJwhYQ.jpg
RADACAD,모델링,Fabric,Connect M365 Copilot to Power BI — No-Code Fabric Data Agent for Business Users,Connect M365 Copilot to Power BI — No-Code Fabric Data Agent for Business Users,Fabric과 Power BI의 최신 기능 흐름을 파악하는 데 도움이 되는 영상입니다.,2026-08-18,https://www.youtube.com/watch?v=p5mANFEG7Dw,https://i1.ytimg.com/vi/p5mANFEG7Dw/hqdefault.jpg,powerbi_learning_thumbs/p5mANFEG7Dw.jpg
How to Power BI,디자인,시각화,"With AI we can all create reports super quickly, but...","With AI we can all create reports super quickly, but...",보고서 화면 구성과 시각적 표현을 개선하는 데 참고할 수 있는 영상입니다.,2026-08-17,https://www.youtube.com/watch?v=P4-klLLUzic,https://i1.ytimg.com/vi/P4-klLLUzic/hqdefault.jpg,powerbi_learning_thumbs/P4-klLLUzic.jpg
어니언 비아이 (ONION BI),한국 크리에이터,한국 크리에이터,Power BI Azure Map (애저맵) 활용법 2 - 지도에 이동 경로 표현하기,Power BI Azure Map (애저맵) 활용법 2 - 지도에 이동 경로 표현하기,한국어로 Power BI 실무 흐름을 익히는 데 참고할 수 있는 영상입니다.,2026-08-17,https://www.youtube.com/watch?v=2CoDpSKaDGE,https://i3.ytimg.com/vi/2CoDpSKaDGE/hqdefault.jpg,powerbi_learning_thumbs/2CoDpSKaDGE.jpg
