channel_name,channel_type,topic,title_en,title_ko,summary_ko,published_at,video_url,thumbnail_url,thumbnail_asset
Microsoft Power BI,공식,공식 업데이트,Power BI Update - August 2026,Power BI Update - August 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-08-20,https://www.youtube.com/watch?v=-GcSAYvvv94,https://i2.ytimg.com/vi/-GcSAYvvv94/hqdefault.jpg,powerbi_learning_thumbs/-GcSAYvvv94.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - July 2026,Power BI Update - July 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-07-22,https://www.youtube.com/watch?v=8JWZF1eB6oQ,https://i1.ytimg.com/vi/8JWZF1eB6oQ/hqdefault.jpg,powerbi_learning_thumbs/8JWZF1eB6oQ.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - June 2026,Power BI Update - June 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-06-09,https://www.youtube.com/watch?v=pGmUMRa6xL4,https://i1.ytimg.com/vi/pGmUMRa6xL4/hqdefault.jpg,powerbi_learning_thumbs/pGmUMRa6xL4.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - May 2026,Power BI Update - May 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-05-20,https://www.youtube.com/watch?v=Fiyw2YT4w-E,https://i3.ytimg.com/vi/Fiyw2YT4w-E/hqdefault.jpg,powerbi_learning_thumbs/Fiyw2YT4w-E.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - April 2026,Power BI Update - April 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-04-22,https://www.youtube.com/watch?v=Nn19PQF59MM,https://i3.ytimg.com/vi/Nn19PQF59MM/hqdefault.jpg,powerbi_learning_thumbs/Nn19PQF59MM.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - March 2026,Power BI Update - March 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-03-18,https://www.youtube.com/watch?v=INwbDNhRMG0,https://i2.ytimg.com/vi/INwbDNhRMG0/hqdefault.jpg,powerbi_learning_thumbs/INwbDNhRMG0.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - February 2026,Power BI Update - February 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-02-24,https://www.youtube.com/watch?v=O21vXCpYdCc,https://i4.ytimg.com/vi/O21vXCpYdCc/hqdefault.jpg,powerbi_learning_thumbs/O21vXCpYdCc.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - January 2026,Power BI Update - January 2026,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2026-01-20,https://www.youtube.com/watch?v=xYNx4a3aRZQ,https://i1.ytimg.com/vi/xYNx4a3aRZQ/hqdefault.jpg,powerbi_learning_thumbs/xYNx4a3aRZQ.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - November 2025,Power BI Update - November 2025,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-11-18,https://www.youtube.com/watch?v=pRFeQWzUhn0,https://i1.ytimg.com/vi/pRFeQWzUhn0/hqdefault.jpg,powerbi_learning_thumbs/pRFeQWzUhn0.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - September 2025,Power BI Update - September 2025,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-09-16,https://www.youtube.com/watch?v=CQVQtXr9EbI,https://i4.ytimg.com/vi/CQVQtXr9EbI/hqdefault.jpg,powerbi_learning_thumbs/CQVQtXr9EbI.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - August 2025,Power BI Update - August 2025,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-08-12,https://www.youtube.com/watch?v=AEXtSe2OA5E,https://i2.ytimg.com/vi/AEXtSe2OA5E/hqdefault.jpg,powerbi_learning_thumbs/AEXtSe2OA5E.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - July 2025,Power BI Update - July 2025,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-07-16,https://www.youtube.com/watch?v=RABiSIUiCH4,https://i3.ytimg.com/vi/RABiSIUiCH4/hqdefault.jpg,powerbi_learning_thumbs/RABiSIUiCH4.jpg
Microsoft Power BI,공식,공식 업데이트,Power BI Update - June 2025,Power BI Update - June 2025,Power BI 실무 학습에 참고할 수 있는 영상입니다.,2025-06-10,https://www.youtube.com/watch?v=Mt6Fy3Dvy1A,https://i2.ytimg.com/vi/Mt6Fy3Dvy1A/hqdefault.jpg,powerbi_learning_thumbs/Mt6Fy3Dvy1A.jpg
