index,source,content_type,title_en,title_ko,summary_en,summary_ko,source_url,source_anchor,release_label,version,section,feature_title_en,feature_title_ko,feature_description_en,feature_description_ko,image_urls,tags,publication_status,collected_at
1,Microsoft Learn,powerbi_update,Power BI June 2026 update: June 2026 update overview,Power BI June 2026 업데이트: June 2026 업데이트 overview,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'June 2026 업데이트 overview' 항목입니다. 원문 요약: The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Overview,June 2026 update overview,June 2026 업데이트 overview,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","원문 요약: The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined...",,Power BI; Power BI 업데이트; Overview; AI; 시각화; 모델링,review,2026-08-15T19:36:05
2,Microsoft Learn,powerbi_update,Power BI June 2026 update: Power BI Dataviz World Championships announcement,Power BI June 2026 업데이트: Power BI Dataviz World Championships announcement,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.",June 2026 update Power BI 업데이트의 'Power BI Dataviz World Championships announcement' 항목입니다. 원문 요약: The Dataviz World Championships return with kickoff events in June and a live finale at FabCon / SQLCon Barcelona.,https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,General,Power BI Dataviz World Championships announcement,Power BI Dataviz World Championships announcement,The Dataviz World Championships return with kickoff events in June and a live finale at FabCon / SQLCon Barcelona.,원문 요약: The Dataviz World Championships return with kickoff events in June and a live finale at FabCon / SQLCon Barcelona.,,Power BI; Power BI 업데이트; General,review,2026-08-15T19:36:05
3,Microsoft Learn,powerbi_update,Power BI June 2026 update: FabCon Europe registration update,Power BI June 2026 업데이트: FabCon Europe registration 업데이트,"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'FabCon Europe registration 업데이트' 항목입니다. 원문 요약: FabCon Europe takes place in Barcelona from September 28 to October 1, with community and Microsoft sessions across Fabric, Power BI, and related workloads.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,General,FabCon Europe registration update,FabCon Europe registration 업데이트,"FabCon Europe takes place in Barcelona from September 28 to October 1, with community and Microsoft sessions across Fabric, Power BI, and related workloads.","원문 요약: FabCon Europe takes place in Barcelona from September 28 to October 1, with community and Microsoft sessions across Fabric, Power BI, and related workloads.",,Power BI; Power BI 업데이트; General,review,2026-08-15T19:36:05
4,Microsoft Learn,powerbi_update,Power BI June 2026 update: Fabric Apps for Semantic Models (Preview),Power BI June 2026 업데이트: Fabric Apps for 의미론적 모델 (미리 보기),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Fabric Apps for 의미론적 모델 (미리 보기)' 항목입니다. 원문 요약: Fabric Apps add an AI-first app development path on top of semantic models so teams can build operational data apps while reusing model governance and business logic. For more information, see Power BI data in Fabric...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Copilot and AI,Fabric Apps for Semantic Models (Preview),Fabric Apps for 의미론적 모델 (미리 보기),"Fabric Apps add an AI-first app development path on top of semantic models so teams can build operational data apps while reusing model governance and business logic. For more information, see Power BI data in Fabric Apps (preview) .","원문 요약: Fabric Apps add an AI-first app development path on top of semantic models so teams can build operational data apps while reusing model governance and business logic. For more information, see Power BI data in Fabric...",,Power BI; Power BI 업데이트; Copilot and AI; AI; 모델링,review,2026-08-15T19:36:05
5,Microsoft Learn,powerbi_update,Power BI June 2026 update: Copilot in web modeling (Preview),Power BI June 2026 업데이트: Copilot in web 모델링 (미리 보기),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Copilot in web 모델링 (미리 보기)' 항목입니다. 원문 요약: Copilot in model view helps analyze model structure and apply schema changes such as renames, relationships, and DAX measure creation by using natural language prompts. For more information, see Copilot in web...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Copilot and AI,Copilot in web modeling (Preview),Copilot in web 모델링 (미리 보기),"Copilot in model view helps analyze model structure and apply schema changes such as renames, relationships, and DAX measure creation by using natural language prompts. For more information, see Copilot in web modeling (preview) .","원문 요약: Copilot in model view helps analyze model structure and apply schema changes such as renames, relationships, and DAX measure creation by using natural language prompts. For more information, see Copilot in web...",,Power BI; Power BI 업데이트; Copilot and AI; AI; 모델링,review,2026-08-15T19:36:05
6,Microsoft Learn,powerbi_update,Power BI June 2026 update: AI-powered report authoring agent skills (Preview),Power BI June 2026 업데이트: AI-powered report authoring agent skills (미리 보기),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'AI-powered report authoring agent skills (미리 보기)' 항목입니다. 원문 요약: Power BI report authoring skills in Skills for Fabric support plan, design, author, validate, and publish workflows through natural language prompts.",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Copilot and AI,AI-powered report authoring agent skills (Preview),AI-powered report authoring agent skills (미리 보기),"Power BI report authoring skills in Skills for Fabric support plan, design, author, validate, and publish workflows through natural language prompts.","원문 요약: Power BI report authoring skills in Skills for Fabric support plan, design, author, validate, and publish workflows through natural language prompts.",,Power BI; Power BI 업데이트; Copilot and AI; AI,review,2026-08-15T19:36:05
7,Microsoft Learn,powerbi_update,"Power BI June 2026 update: Data answering in Fabric Skills, Cowork, and M365 Chat (Frontier)","Power BI June 2026 업데이트: Data answering in Fabric Skills, Cowork, and M365 Chat (Frontier)","The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Data answering in Fabric Skills, Cowork, and M365 Chat (Frontier)' 항목입니다. 원문 요약: Fabric IQ expands conversational data answering for Power BI reports and semantic models across Fabric and Microsoft 365 Copilot surfaces. For more information, see Fabric IQ in Microsoft 365 Copilot Cowork (Frontier) .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Copilot and AI,"Data answering in Fabric Skills, Cowork, and M365 Chat (Frontier)","Data answering in Fabric Skills, Cowork, and M365 Chat (Frontier)","Fabric IQ expands conversational data answering for Power BI reports and semantic models across Fabric and Microsoft 365 Copilot surfaces. For more information, see Fabric IQ in Microsoft 365 Copilot Cowork (Frontier) .","원문 요약: Fabric IQ expands conversational data answering for Power BI reports and semantic models across Fabric and Microsoft 365 Copilot surfaces. For more information, see Fabric IQ in Microsoft 365 Copilot Cowork (Frontier) .",,Power BI; Power BI 업데이트; Copilot and AI; AI; 모델링,review,2026-08-15T19:36:05
8,Microsoft Learn,powerbi_update,Power BI June 2026 update: Data answering in Microsoft 365 Copilot Chat (Frontier),Power BI June 2026 업데이트: Data answering in Microsoft 365 Copilot Chat (Frontier),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Data answering in Microsoft 365 Copilot Chat (Frontier)' 항목입니다. 원문 요약: Fabric IQ in Microsoft 365 Copilot Chat enables Frontier users to ask business questions grounded in governed Power BI data. For more information, see Fabric IQ in Microsoft 365 Copilot Chat (Frontier) .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Copilot and AI,Data answering in Microsoft 365 Copilot Chat (Frontier),Data answering in Microsoft 365 Copilot Chat (Frontier),"Fabric IQ in Microsoft 365 Copilot Chat enables Frontier users to ask business questions grounded in governed Power BI data. For more information, see Fabric IQ in Microsoft 365 Copilot Chat (Frontier) .","원문 요약: Fabric IQ in Microsoft 365 Copilot Chat enables Frontier users to ask business questions grounded in governed Power BI data. For more information, see Fabric IQ in Microsoft 365 Copilot Chat (Frontier) .",,Power BI; Power BI 업데이트; Copilot and AI; AI,review,2026-08-15T19:36:05
9,Microsoft Learn,powerbi_update,Power BI June 2026 update: Shape map (Generally Available),Power BI June 2026 업데이트: Shape map (정식 제공),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Shape map (정식 제공)' 항목입니다. 원문 요약: Shape map now supports built-in maps, custom TopoJSON/GeoJSON uploads, URL-based map references, and downloading uploaded custom maps for reuse. For more information, see Create shape map visuals in Power BI .",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Shape map (Generally Available),Shape map (정식 제공),"Shape map now supports built-in maps, custom TopoJSON/GeoJSON uploads, URL-based map references, and downloading uploaded custom maps for reuse. For more information, see Create shape map visuals in Power BI .","원문 요약: Shape map now supports built-in maps, custom TopoJSON/GeoJSON uploads, URL-based map references, and downloading uploaded custom maps for reuse. For more information, see Create shape map visuals in Power BI .",,Power BI; Power BI 업데이트; Reporting; AI; 시각화,review,2026-08-15T19:36:05
10,Microsoft Learn,powerbi_update,Power BI June 2026 update: Date picker for slicers (Preview),Power BI June 2026 업데이트: Date picker for slicers (미리 보기),"The June 2026 Power BI update brings Fabric Apps for semantic models and Copilot in web modeling to preview, adds shape map to general availability, introduces date picker for slicers, and ships DAX user-defined functions with optional parameters and multiple reporting enhancements across matrix, scatter charts, bar and column charts, card visuals, slicers, Azure Maps, and tooltips.","June 2026 update Power BI 업데이트의 'Date picker for slicers (미리 보기)' 항목입니다. 원문 요약: A new Date picker slicer option supports relative defaults that roll forward with refresh and lets report viewers switch between relative and manual date selections. For more information, see Visualizations overview...",https://learn.microsoft.com/en-us/power-bi/fundamentals/desktop-latest-update-archive?tabs=powerbi-desktop#june-2026-update-version-21557560,june-2026-update-version-21557560,June 2026 update,2.155.756.0,Reporting,Date picker for slicers (Preview),Date picker for slicers (미리 보기),"A new Date picker slicer option supports relative defaults that roll forward with refresh and lets report viewers switch between relative and manual date selections. For more information, see Visualizations overview in Power BI .","원문 요약: A new Date picker slicer option supports relative defaults that roll forward with refresh and lets report viewers switch between relative and manual date selections. For more information, see Visualizations overview...",,Power BI; Power BI 업데이트; Reporting; 시각화,review,2026-08-15T19:36:05
