"title","platform","creator_name","creator_url","source_url","embed_url","thumbnail_url","github_url","categories","source_type","embed_status","publication_status","weight","collected_from","collected_category","collected_at"
"Seattle Weather Dashboard","Streamlit","streamlit","https://github.com/streamlit","https://demo-seattle-weather.streamlit.app","https://demo-seattle-weather.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/fbaa1d92-d783-4dd8-9045-c701641791d1/Home_Page.png","https://github.com/streamlit/demo-seattle-weather","Favorites; Science & technology","curated","unverified","review","1000000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"30 Days of AI","Streamlit","streamlit","https://github.com/streamlit","https://30daysofai.streamlit.app","https://30daysofai.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/f7a4c705-c980-4c8a-9922-0e00fce641f6/Home_Page.png","https://github.com/streamlit/30daysofai","Favorites; LLMs; Snowflake powered","curated","unverified","review","1000000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Stock Peer Analysis Dashboard","Streamlit","streamlit","https://github.com/streamlit","https://demo-stockpeers.streamlit.app","https://demo-stockpeers.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/23789faf-62e2-46f5-a801-2880ce33e141/Home_Page.png","https://github.com/streamlit/demo-stockpeers","Favorites; Finance & business","curated","unverified","review","900000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"AI Assistant","Streamlit","streamlit","https://github.com/streamlit","https://demo-ai-assistant.streamlit.app/","https://demo-ai-assistant.streamlit.app/?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/f04cd3e9-1556-4083-8aec-a51d787564a3/Home_Page.png","https://github.com/streamlit/demo-ai-assistant","Favorites; LLMs; Snowflake powered ❄️","curated","unverified","review","800000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Movies, movies, movies!","Streamlit","streamlit","https://github.com/streamlit","https://demo-movies.streamlit.app","https://demo-movies.streamlit.app?embed=true","https://raw.githubusercontent.com/streamlit/demo-movies/refs/heads/main/screenshot.png","https://github.com/streamlit/demo-movies","Favorites; Data visualization","curated","unverified","review","700000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"To-do list","Streamlit","streamlit","https://github.com/streamlit","https://demo-todo.streamlit.app","https://demo-todo.streamlit.app?embed=true","https://raw.githubusercontent.com/streamlit/demo-todo/refs/heads/main/screenshot.png","https://github.com/streamlit/demo-todo","Favorites; Other","curated","unverified","review","600000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Roadmap","Streamlit","streamlit","https://github.com/streamlit","https://roadmap.streamlit.app","https://roadmap.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/ef9a7627-13f2-47e5-8f65-3f69bb38a5c2/Home_Page.png","https://github.com/streamlit/roadmap","Trending; Favorites","curated","unverified","review","500000","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"MathGPT","Streamlit","napoles-uach","https://github.com/napoles-uach","https://mathgpt.streamlit.app","https://mathgpt.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/7c1a4747-6bd3-451f-9b74-9fe790252a69/Home_Page.png","https://github.com/napoles-uach/numpgpt","Trending; LLMs","curated","unverified","review","250402","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"LLM examples","Streamlit","streamlit","https://github.com/streamlit","https://llm-examples.streamlit.app","https://llm-examples.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/61afc8d5-21bd-4293-ae2b-25799f8df45a/Home_Page.png","https://github.com/streamlit/llm-examples","Trending; LLMs","curated","unverified","review","208761","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Portfolio","Streamlit","mehulgupta2016154","https://github.com/mehulgupta2016154","https://mehulgupta2016154-resume-builder-streamlit-app-ajmqjx.streamlit.app","https://mehulgupta2016154-resume-builder-streamlit-app-ajmqjx.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/e5536a7f-91c2-4b74-a3b8-f3e8555d42fc/Home_Page.png","https://github.com/mehulgupta2016154/resume_builder","Trending; Data visualization","curated","unverified","review","112605","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Streamlit extras","Streamlit","arnaudmiribel","https://github.com/arnaudmiribel","https://extras.streamlit.app","https://extras.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/31b99099-8eae-4ff8-aa89-042895ed3843/Home_Page.png","https://github.com/arnaudmiribel/streamlit-extras","Trending; Favorites","curated","unverified","review","110140","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Emoji Shortcodes","Streamlit","streamlit","https://github.com/streamlit","https://streamlit-emoji-shortcodes-streamlit-app-gwckff.streamlit.app","https://streamlit-emoji-shortcodes-streamlit-app-gwckff.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/df8e0980-cb87-47ee-9176-5debce9d32e2/Home_Page.png","https://github.com/streamlit/emoji-shortcodes","Trending; Sports & fun","curated","unverified","review","91111","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Goodreads Analysis App","Streamlit","tylerjrichards","https://github.com/tylerjrichards","https://goodreads.streamlit.app","https://goodreads.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/b86a007e-fed3-42e7-9032-3a589a276e59/Home_Page.png","https://github.com/tylerjrichards/streamlit_goodreads_app","Trending; Data visualization","curated","unverified","review","87197","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"prettymapp","Streamlit","chrieke","https://github.com/chrieke","https://prettymapp.streamlit.app","https://prettymapp.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/e17c0e5c-0cd8-447e-8320-c571d0bedbed/Home_Page.png","https://github.com/chrieke/prettymapp","Geography & society; Favorites","curated","unverified","review","71800","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"GW Quickview","Streamlit","jkanner","https://github.com/jkanner","https://gw-quickview.streamlit.app","https://gw-quickview.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/378edd13-395a-4da7-9530-3fd2d5c5f19c/Home_Page.png","https://github.com/jkanner/streamlit-dataview","Science & technology; Favorites","curated","unverified","review","64506","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"30Days of Streamlit","Streamlit","streamlit","https://github.com/streamlit","https://30days.streamlit.app","https://30days.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/b697fb03-ade0-4a0b-b3d6-ae1d97022b4a/Home_Page.png","https://github.com/streamlit/30days-i18n","Trending; Favorites","curated","unverified","review","62050","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Gita GPT","Streamlit","kinshukk","https://github.com/kinshukk","https://gitagpt-bollingen.streamlit.app","https://gitagpt-bollingen.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/579ffe79-084a-4dc4-b20a-8d0d4e04cd98/Home_Page.png","https://github.com/kinshukk/gitagpt","LLMs","curated","unverified","review","60384","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
