title,platform,creator_name,creator_url,source_url,embed_url,thumbnail_url,github_url,categories,source_type,embed_status,publication_status,weight,collected_from,collected_category,collected_at
Gender & Ethnic Disparities in Tech Companies,Tableau,IvettAlexa,,https://public.tableau.com/app/profile/yvette/viz/GenderEthnicDisparitiesinTechCompanies/GenderEthnicdisparitiesinTechCompanies,https://public.tableau.com/views/GenderEthnicDisparitiesinTechCompanies/GenderEthnicdisparitiesinTechCompanies?:language=en-US&:display_count=n&:showVizHome=n&:embed=y&:origin=viz_share_link,https://public.tableau.com/static/images/Ge/GenderEthnicDisparitiesinTechCompanies/GenderEthnicdisparitiesinTechCompanies/1.png,,Viz Gallery,curated,unverified,review,990000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:15:06.875282+00:00
The American Political Universe,Tableau,Mike Cisneros,,https://public.tableau.com/app/profile/mikevizneros/viz/PoliticalDW/TheAmericanPoliticalUniverse,https://public.tableau.com/views/PoliticalDW/TheAmericanPoliticalUniverse?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Po/PoliticalDW/TheAmericanPoliticalUniverse/1.png,,Viz Gallery,curated,unverified,review,980000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:32:35.780146+00:00
State Medigap Costs - #ProjectHealthViz (part of #TC18 Viz Gallery),Tableau,Lindsay Betzendahl,,https://public.tableau.com/app/profile/lindsay.betzendahl/viz/StateMedigapCosts-ProjectHealthViz/Medigap,https://public.tableau.com/views/StateMedigapCosts-ProjectHealthViz/Medigap?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/St/StateMedigapCosts-ProjectHealthViz/Medigap/1.png,,Viz Gallery,curated,unverified,review,970000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:33:31.177732+00:00
US Fruit Consumption,Tableau,Leigh Fonseca,,https://public.tableau.com/app/profile/missleigh/viz/USFruitConsumption/Fruit,https://public.tableau.com/views/USFruitConsumption/Fruit?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/US/USFruitConsumption/Fruit/1.png,,Viz Gallery,curated,unverified,review,960000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:33:40.01782+00:00
Explore Flight Delay & Tweet Data,Tableau,Sue Grist,,https://public.tableau.com/app/profile/sue.grist/viz/ExploreAirlineDataFINALSueGrist2017-06-05/Story1,https://public.tableau.com/views/ExploreAirlineDataFINALSueGrist2017-06-05/Story1?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Ex/ExploreAirlineDataFINALSueGrist2017-06-05/Story1/1.png,,Viz Gallery,curated,unverified,review,950000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:33:48.706175+00:00
Ratios of Inequity,Tableau,nai.louza,,https://public.tableau.com/app/profile/nai.louza/viz/RatiosofInequity/RatiosofInequity,https://public.tableau.com/views/RatiosofInequity/RatiosofInequity?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Ra/RatiosofInequity/RatiosofInequity/1.png,,Viz Gallery,curated,unverified,review,940000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:35:25.60444+00:00
Jordan Career Scoring,Tableau,jeff.plattner4532,,https://public.tableau.com/app/profile/jeff.plattner4532/viz/JordanCareerScoring/PlayerViz,https://public.tableau.com/views/JordanCareerScoring/PlayerViz?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Jo/JordanCareerScoring/PlayerViz/1.png,,Viz Gallery,curated,unverified,review,930000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:35:33.737789+00:00
Super Bowl 2018 LII | Big Game Battle,Tableau,Ann Jackson,,https://public.tableau.com/app/profile/ann.jackson/viz/SuperBowl2018LIIBigGameBattle/BIGGAMEBATTLE,https://public.tableau.com/views/SuperBowl2018LIIBigGameBattle/BIGGAMEBATTLE?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Su/SuperBowl2018LIIBigGameBattle/BIGGAMEBATTLE/1.png,,Viz Gallery,curated,unverified,review,920000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:37:16.582655+00:00
New York Rat Sightings,Tableau,siyu.bao,,https://public.tableau.com/app/profile/siyu.bao/viz/2018W27NewYorkRatSightings/NewYorkRatSightings,https://public.tableau.com/views/2018W27NewYorkRatSightings/NewYorkRatSightings?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/20/2018W27NewYorkRatSightings/NewYorkRatSightings/1.png,,Viz Gallery,curated,unverified,review,910000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:37:33.375372+00:00
MakeOverMonday - Overtourism,Tableau,ludovic.tavernier,,https://public.tableau.com/app/profile/ludovic.tavernier/viz/MakeOverMonday-Overtourism/Tableaudebord1,https://public.tableau.com/views/MakeOverMonday-Overtourism/Tableaudebord1?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/Ma/MakeOverMonday-Overtourism/Tableaudebord1/1.png,,Viz Gallery,curated,unverified,review,900000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:37:41.795048+00:00
A History of the World Cup,Tableau,Ken Flerlage,,https://public.tableau.com/app/profile/ken.flerlage/viz/AHistoryoftheWorldCup/WorldCup,https://public.tableau.com/views/AHistoryoftheWorldCup/WorldCup?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/AH/AHistoryoftheWorldCup/WorldCup/1.png,,Viz Gallery,curated,unverified,review,890000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:38:11.62066+00:00
Starcraft II Player Network,Tableau,mina.ozgen,,https://public.tableau.com/app/profile/mina.ozgen/viz/StarcraftIIPlayerNetwork/StarcraftIIPlayerNetwork,https://public.tableau.com/views/StarcraftIIPlayerNetwork/StarcraftIIPlayerNetwork?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/St/StarcraftIIPlayerNetwork/StarcraftIIPlayerNetwork/1.png,,Viz Gallery,curated,unverified,review,880000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:38:20.393033+00:00
#MAKEOVERMONDAY - TRUMP'S 'EXECUTIVE TIME' 🤳,Tableau,alex.,,https://public.tableau.com/app/profile/jusdespommes/viz/MAKOVERMONDAY-TRUMPSEXECUTIVETIME/MAKOVERMONDAY-TRUMPSEXECUTIVETIME,https://public.tableau.com/views/MAKOVERMONDAY-TRUMPSEXECUTIVETIME/MAKOVERMONDAY-TRUMPSEXECUTIVETIME?:language=en-US&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/MA/MAKOVERMONDAY-TRUMPSEXECUTIVETIME/MAKOVERMONDAY-TRUMPSEXECUTIVETIME/1.png,,Viz Gallery,curated,unverified,review,870000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:39:11.719413+00:00
Small Countries are Beautiful,Tableau,neil.richards,,https://public.tableau.com/app/profile/neil.richards/viz/smallisbeautiful-TP/Dashboard52,https://public.tableau.com/views/smallisbeautiful-TP/Dashboard52?:language=ko-KR&:sid=&:redirect=auth&:display_count=n&:origin=viz_share_link,https://public.tableau.com/static/images/sm/smallisbeautiful-TP/Dashboard52/1.png,,Viz Gallery,curated,unverified,review,860000,https://www.tableau.com/viz-gallery,All,2026-08-11T01:39:21.07589+00:00
